Year,Month,New Dwellings London
2002,Feb,247564
2002,Mar,252677
2002,Apr,246396
2002,May,261379
2002,Jun,266370
2002,Jul,246654
2002,Aug,262906
2002,Sep,270348
2002,Oct,272961
2002,Nov,272808
2002,Dec,279886
2003,Jan,271029
2003,Feb,28011
2003,Mar,280855
2003,Apr,287319
2003,May,292646
2003,Jun,300127
2003,Jul,310466
2003,Aug,312612
2003,Sep,294363
2003,Oct,314420
2003,Nov,287196
2003,Dec,293359
2004,Jan,293970
2004,Feb,310406
2004,Mar,304991
2004,Apr,311028
2004,May,314578
2004,Jun,328280
2004,Jul,324417
2004,Aug,317822
2004,Sep,317026
2004,Oct,316815
2004,Nov,312251
2004,Dec,297264
2005,Jan,298779
2005,Feb,325699
2005,Mar,331264
2005,Apr,316450
2005,May,314554
2005,Jun,322888
2005,Jul,317212
2005,Aug,316647
2005,Sep,313436
2005,Oct,311146
2005,Nov,306027
2005,Dec,317744
2006,Jan,319540
2006,Feb,300634
2006,Mar,328229
2006,Apr,317989
2006,May,315030
2006,Jun,310119
2006,Jul,311238
2006,Aug,299045
2006,Sep,312701
2006,Oct,307582
2006,Nov,314060
2006,Dec,336110
2007,Jan,313105
2007,Feb,314886
2007,Mar,311700
2007,Apr,307714
2007,May,312997
2007,Jun,326237
2007,Jul,316776
2007,Aug,305881
2007,Sep,314304
2007,Oct,316864
2007,Nov,314063
2007,Dec,336254
2008,Jan,307004
2008,Feb,301851
2008,Mar,303590
2008,Apr,307069
2008,May,310809
2008,Jun,302349
2008,Jul,291805
2008,Aug,265586
2008,Sep,272770
2008,Oct,242022
2008,Nov,232050
2008,Dec,279494
2009,Jan,270370
2009,Feb,254410
2009,Mar,235362
2009,Apr,227833
2009,May,216473
2009,Jun,226771
2009,Jul,208153
2009,Aug,193965
2009,Sep,229463
2009,Oct,219575
2009,Nov,210925
2009,Dec,235396
2010,Jan,240275
2010,Feb,218180
2010,Mar,230512
2010,Apr,260714
2010,May,245909
2010,Jun,252764
2010,Jul,257674
2010,Aug,243026
2010,Sep,239082
2010,Oct,230209
2010,Nov,252016
2010,Dec,266633
2011,Jan,285851
2011,Feb,277056
2011,Mar,269216
2011,Apr,285212
2011,May,270024
2011,Jun,263584
2011,Jul,267533
2011,Aug,262310
2011,Sep,275242
2011,Oct,283482
2011,Nov,279529
2011,Dec,307645
2012,Jan,316680
2012,Feb,304281
2012,Mar,299436
2012,Apr,297194
2012,May,298249
2012,Jun,306903
2012,Jul,274984
2012,Aug,293121
2012,Sep,264226
2012,Oct,271436
2012,Nov,288282
2012,Dec,328023
2013,Jan,332440
2013,Feb,336590
2013,Mar,318261
2013,Apr,352512
2013,May,318117
2013,Jun,343965
2013,Jul,322156
2013,Aug,329094
2013,Sep,341321
2013,Oct,344375
2013,Nov,336416
2013,Dec,370344
2014,Jan,385054
2014,Feb,377790
2014,Mar,366184
2014,Apr,398792
2014,May,407934
2014,Jun,398465
2014,Jul,414717
2014,Aug,414954
2014,Sep,394365
2014,Oct,390567
2014,Nov,416716
2014,Dec,407701
2015,Jan,426634
2015,Feb,399453
2015,Mar,451564
2015,Apr,444880
2015,May,459555
2015,June,452163
2015,July,438779